"title","price","combustivel","cambio","km","modelo_base","descricao_modelo"
"TIGUAN 2.0 TSI 16V TURBO AUTOMÁTICO","58890","Gasolina","Automático","55427","TIGUAN","2.0 TSI 16V TURBO AUTOMÁTICO"
"TRIBECA 3.6 LIMITED AWD 6 AUTOMÁTICO","79890","Gasolina","Automático","48131","TRIBECA","3.6 LIMITED AWD 6 AUTOMÁTICO"
"ECOSPORT 2.0 XLT 16V FLEX AUTOMÁTICO","37890","Flex","Automático","68291","ECOSPORT","2.0 XLT 16V FLEX AUTOMÁTICO"
"SPORTAGE 2.0 LX 4X2 16V AUTOMÁTICO","102890","Gasolina","Automático","61825","SPORTAGE","2.0 LX 4X2 16V AUTOMÁTICO"
"GOL 1.0 MI 8V FLEX MANUAL","23890","Flex","Manual","48121","GOL","1.0 MI 8V FLEX MANUAL"
"CITY 1.5 IVTEC FLEX TOURING AUTOMÁTICO","105000","Flex","Automático","73164","CITY","1.5 IVTEC FLEX TOURING AUTOMÁTICO"
"COMPASS 2.0 16V FLEX LONGITUDE AUTOMÁTICO","79890","Flex","Automático","34986","COMPASS","2.0 16V FLEX LONGITUDE AUTOMÁTICO"
"C4 PICASSO 2.0 16V GASOLINA AUTOMÁTICO","29900","Gasolina","Automático","20350","C4","PICASSO 2.0 16V GASOLINA AUTOMÁTICO"
"JETTA 1.4 16V TSI COMFORTLINE AUTOMÁTICO","68890","Gasolina","Automático","69251","JETTA","1.4 16V TSI COMFORTLINE AUTOMÁTICO"
"CLIO 1.0 AUTHENTIQUE SEDAN 16V MANUAL","19890","Gasolina","Manual","17249","CLIO","1.0 AUTHENTIQUE SEDAN 16V MANUAL"
"TUCSON 1.6 16V TGDI GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","69729","TUCSON","1.6 16V TGDI GASOLINA AUTOMÁTICO"
"GRAND CHEROKEE 3.6 LAREDO 4X4 AUTOMÁTICO","50890","Gasolina","Automático","60212","GRAND","CHEROKEE 3.6 LAREDO 4X4 AUTOMÁTICO"
"KA 1.0 TIVCT FLEX SE MANUAL","79890","Flex","Manual","23811","KA","1.0 TIVCT FLEX SE MANUAL"
"GOL 1.0 MI TREND 8V MANUAL","26890","Gasolina","Manual","79293","GOL","1.0 MI TREND 8V MANUAL"
"S40 2.4 GASOLINA 4P AUTOMÁTICO AUTOMÁTICO","39890","Gasolina","Automático","85925","S40","2.4 GASOLINA 4P AUTOMÁTICO AUTOMÁTICO"
"FIT 1.5 EX 16V FLEX AUTOMÁTICO","79890","Flex","Automático","36244","FIT","1.5 EX 16V FLEX AUTOMÁTICO"
"CITY 1.5 DX 16V FLEX AUTOMÁTICO","70890","Flex","Automático","69007","CITY","1.5 DX 16V FLEX AUTOMÁTICO"
"TRACKER 1.0 TURBO FLEX AUTOMÁTICO AUTOMÁTICO","97890","Flex","Automático","69973","TRACKER","1.0 TURBO FLEX AUTOMÁTICO AUTOMÁTICO"
"HB20 1.0 COMFORT 12V FLEX MANUAL","79890","Flex","Manual","29002","HB20","1.0 COMFORT 12V FLEX MANUAL"
"T40 1.5 16V JETFLEX 4P MANUAL","65390","Flex","Manual","57451","T40","1.5 16V JETFLEX 4P MANUAL"
"FUSION 2.5 16V FLEX 4P AUTOMÁTICO","67890","Flex","Automático","88296","FUSION","2.5 16V FLEX 4P AUTOMÁTICO"
"KA 1.0 MPI 8V FLEX MANUAL","28890","Flex","Manual","74284","KA","1.0 MPI 8V FLEX MANUAL"
